domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
square,N1curl,grad,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,0,0.9572609318248699,0.0,ok
square,N1curl,grad,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,1,1.0571231506415297,0.0,ok
square,N1curl,grad,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,2,2.0117169401130224,0.0,ok
square,N1curl,grad,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,3,3.9622851296307937,0.0,ok
square,N1curl,grad,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,4,4.061721302345639,0.0,ok
square,N1curl,grad,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,5,5.008436070907125,0.0,ok
square,N1curl,grad,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,6,5.0085970775089255,0.0,ok
square,N1curl,grad,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,7,7.98125397041946,0.0,ok
square,N1curl,grad,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,0,0.9570412463457292,0.0,ok
square,N1curl,grad,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,1,1.0570068549427851,0.0,ok
square,N1curl,grad,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,2,2.0133812141954923,0.0,ok
square,N1curl,grad,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,3,3.9590107201183393,0.0,ok
square,N1curl,grad,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,4,4.058870676252014,0.0,ok
square,N1curl,grad,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,5,5.013274644109969,0.0,ok
square,N1curl,grad,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,6,5.01331349657158,0.0,ok
square,N1curl,grad,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,7,8.007188604053265,0.0,ok
